timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm]
2608715951,3.9135,4.0422,-30.5,15.125,-41.0,32.5,15.6562,-40.875,0.1058,0.4338,0.8948,-0.0839,0.4338,0.8971,-0.1079,-0.77,7.4301,-0.0984,-0.7568,7.3796
2613712951,3.8915,3.9834,-30.625,15.0625,-40.5938,32.4375,15.8125,-40.625,0.121,0.4276,0.8958,-0.0745,0.4268,0.9013,-0.1316,-0.7944,7.4582,-0.0939,-0.7329,7.1497
2618712951,3.9687,3.9282,-30.8125,14.8125,-40.8125,32.1875,15.4688,-40.5,0.1196,0.4487,0.8856,-0.0615,0.4478,0.892,-0.1456,-0.8384,7.8243,-0.1276,-0.7778,7.3071
2623712951,3.976,4.0128,-30.9062,14.7188,-41.25,32.125,15.625,-40.375,0.1059,0.4461,0.8887,-0.0529,0.4443,0.8943,-0.1501,-0.856,7.9838,-0.1022,-0.7666,7.4526
2628712951,4.1304,4.0679,-30.6562,15.0,-40.875,32.375,15.8125,-40.9062,0.1131,0.4285,0.8964,-0.0481,0.4276,0.9027,-0.1153,-0.8066,7.7801,-0.0722,-0.7344,7.4032
2638712951,3.9135,3.9907,-30.6562,14.9375,-40.5,32.3438,15.75,-40.9688,0.12,0.4294,0.8951,-0.0366,0.4268,0.9036,-0.1287,-0.811,7.686,-0.0635,-0.7446,7.6179
2643713951,3.7996,4.0054,-30.6562,14.5625,-40.5,32.375,15.4375,-40.5312,0.1093,0.4609,0.8807,-0.0594,0.4592,0.8864,-0.1611,-0.8496,7.7882,-0.1174,-0.7983,7.6596
2648713951,3.7372,4.0017,-30.9062,14.8125,-40.75,32.125,15.6562,-40.5625,0.1157,0.4294,0.8957,-0.0454,0.4276,0.9028,-0.1459,-0.8442,7.8912,-0.0972,-0.7539,7.358
2653713951,3.7776,3.9576,-30.7812,14.9375,-40.6875,32.2188,15.6875,-40.75,0.1151,0.4232,0.8987,-0.0385,0.4215,0.906,-0.1194,-0.8071,7.7412,-0.101,-0.7534,7.3117
2658713951,3.8731,3.9981,-30.5625,14.9375,-40.7188,32.4688,15.75,-40.625,0.0889,0.4206,0.9029,-0.0625,0.417,0.9067,-0.1231,-0.8159,7.8043,-0.0847,-0.7451,7.3919
2663713951,3.8437,3.9319,-30.6562,14.75,-40.5,32.3438,15.6875,-40.6562,0.1063,0.4241,0.8993,-0.0482,0.4223,0.9052,-0.1415,-0.832,7.7943,-0.0898,-0.7607,7.5186
2668838951,3.8401,3.9466,-30.6562,15.3125,-40.8125,32.375,16.125,-41.0,0.096,0.3812,0.9195,-0.0447,0.3785,0.9245,-0.082,-0.7554,7.541,-0.0366,-0.6958,7.3436
2673838951,3.9834,3.9356,-30.6875,15.0312,-40.75,32.3125,16.0625,-40.4375,0.1024,0.3974,0.9119,-0.0543,0.3947,0.9172,-0.1116,-0.8076,7.8323,-0.0467,-0.7026,7.313
2678838951,3.8437,3.954,-30.75,14.875,-41.0,32.25,15.7812,-40.6562,0.0866,0.4117,0.9072,-0.0317,0.4072,0.9128,-0.1188,-0.8164,7.8574,-0.0743,-0.7378,7.4204
2683838951,3.7629,3.9907,-30.8125,15.0,-40.625,32.2188,15.7812,-40.7188,0.1081,0.4072,0.9069,-0.0308,0.4046,0.914,-0.1242,-0.8174,7.8096,-0.0688,-0.7368,7.4689
2688838951,3.7225,3.807,-30.3125,15.1875,-40.875,32.7188,16.0625,-41.0,0.0598,0.3875,0.9199,-0.0663,0.383,0.9214,-0.0995,-0.7866,7.7169,-0.0332,-0.7188,7.6463
2693838951,3.7923,3.8841,-30.75,15.125,-40.8125,32.25,16.0625,-40.6875,0.1056,0.3866,0.9162,-0.0446,0.3839,0.9223,-0.1063,-0.7979,7.7744,-0.0422,-0.709,7.4348
2698838951,3.8474,3.8878,-30.5625,14.9688,-40.625,32.4688,15.7812,-40.5625,0.0862,0.401,0.912,-0.0613,0.3974,0.9156,-0.1277,-0.813,7.7197,-0.0668,-0.7461,7.5991
2703838951,3.7923,3.9393,-30.5938,15.1562,-40.8125,32.4375,15.9375,-40.8125,0.0831,0.3893,0.9173,-0.0491,0.3857,0.9213,-0.1043,-0.7979,7.7964,-0.05,-0.7358,7.6625
2708838951,3.7372,3.7813,-30.7812,14.9688,-40.875,32.2188,15.7812,-40.5625,0.0863,0.3983,0.9132,-0.0435,0.3947,0.9178,-0.1268,-0.833,7.966,-0.0665,-0.7471,7.6131
2713838951,3.7923,3.8511,-30.6875,15.3438,-41.125,32.3125,16.125,-40.5938,0.0812,0.3676,0.9264,-0.0478,0.3631,0.9305,-0.0783,-0.7793,7.8619,-0.0317,-0.7021,7.4707
2718838951,3.7923,3.9099,-30.5,15.125,-40.7188,32.5312,15.9375,-40.625,0.0824,0.383,0.9201,-0.0664,0.3794,0.9228,-0.1066,-0.7979,7.7711,-0.0476,-0.7188,7.4893
2723838951,3.7776,3.8584,-30.6562,15.0625,-40.8125,32.375,15.875,-40.8125,0.0849,0.3875,0.9179,-0.0347,0.3839,0.9227,-0.104,-0.7969,7.7882,-0.058,-0.7427,7.6547
2728838951,3.9025,3.8584,-30.8125,15.3125,-40.875,32.2188,16.25,-40.8125,0.0998,0.3749,0.9217,-0.0421,0.3722,0.9272,-0.0961,-0.7925,7.8224,-0.0356,-0.6968,7.3655
2733838951,3.7996,3.9025,-30.6562,14.9375,-41.0,32.375,15.6875,-40.1875,0.0625,0.4435,0.8941,-0.082,0.4373,0.8956,-0.139,-0.8247,7.7343,-0.1226,-0.793,7.539
2738838951,3.7629,3.8621,-30.5938,15.0625,-41.0,32.4062,15.9062,-40.5312,0.0472,0.4626,0.8853,-0.1181,0.4583,0.8809,-0.1449,-0.8262,7.6876,-0.1126,-0.7764,7.4532
2743838951,4.0238,3.8254,-30.75,15.0625,-41.0,32.25,15.9375,-40.4375,0.0662,0.4841,0.8725,-0.1227,0.4781,0.8697,-0.1632,-0.8433,7.69,-0.1215,-0.7778,7.3731
2748839951,3.9576,3.8878,-30.5938,15.125,-41.0625,32.375,15.6562,-40.125,0.0409,0.5045,0.8624,-0.1342,0.502,0.8544,-0.1514,-0.8271,7.6284,-0.1656,-0.8262,7.4606
2753849951,3.8511,3.976,-30.8125,15.0,-40.75,32.1875,15.5,-40.0,0.0525,0.5104,0.8583,-0.1261,0.5087,0.8517,-0.1794,-0.8506,7.5994,-0.1859,-0.8447,7.459
2758839951,4.101,3.954,-30.6562,15.0,-40.5,32.3125,15.4688,-40.25,0.0516,0.5112,0.8579,-0.1169,0.5087,0.853,-0.1768,-0.8433,7.5418,-0.184,-0.8442,7.4745
2763839951,4.0091,4.0789,-30.5938,15.0,-40.875,32.4375,15.6562,-40.3438,0.0326,0.4994,0.8657,-0.1338,0.4969,0.8574,-0.1676,-0.8345,7.5376,-0.1586,-0.835,7.6422
2768839951,4.3545,4.1083,-30.4375,14.875,-40.6875,32.5625,15.4375,-40.3125,0.0425,0.5079,0.8604,-0.1262,0.5079,0.8521,-0.1783,-0.8521,7.6289,-0.1772,-0.8545,7.67
2773839951,4.0054,3.9834,-30.625,15.25,-40.8125,32.375,15.75,-40.25,0.0457,0.485,0.8733,-0.124,0.4833,0.8666,-0.1492,-0.811,7.4619,-0.1428,-0.8066,7.4794
2778839951,3.9613,3.9393,-30.4688,15.2812,-40.625,32.5312,15.9375,-40.4375,0.0478,0.4721,0.8802,-0.1344,0.4695,0.8726,-0.1523,-0.811,7.4272,-0.124,-0.7896,7.4835
2783839951,4.0569,4.0201,-30.6875,15.2812,-40.875,32.3125,15.7812,-40.375,0.045,0.4799,0.8762,-0.1135,0.4764,0.8719,-0.1432,-0.8262,7.7062,-0.1472,-0.7969,7.3162
2788839951,3.9393,3.9393,-30.4375,15.2812,-40.7188,32.5938,15.6875,-40.6562,0.0253,0.4781,0.8779,-0.1357,0.4747,0.8696,-0.1472,-0.8062,7.4256,-0.1442,-0.8262,7.6956
2793839951,3.9576,3.976,-30.5938,15.2812,-40.9688,32.4062,15.875,-40.25,0.0374,0.4756,0.8789,-0.1368,0.4721,0.8709,-0.1434,-0.8145,7.565,-0.1335,-0.7998,7.5002
2798839951,4.0789,3.9797,-30.75,15.2812,-40.9375,32.25,15.9375,-40.4375,0.0503,0.473,0.8796,-0.1156,0.4695,0.8753,-0.1464,-0.8149,7.5387,-0.1203,-0.7832,7.4495
2803964951,3.9466,3.9025,-30.875,15.375,-40.7812,32.1562,15.9062,-40.25,0.0592,0.4644,0.8837,-0.1135,0.4626,0.8793,-0.1383,-0.8042,7.5,-0.1252,-0.7778,7.3324
2808964951,3.8952,3.9613,-30.5625,15.4375,-40.8438,32.4688,16.0,-40.5938,0.0351,0.4609,0.8868,-0.1216,0.4583,0.8804,-0.1282,-0.7959,7.5128,-0.1157,-0.7764,7.4192
2813964951,3.9356,3.9319,-31.0,15.125,-40.9375,31.9688,15.6562,-40.2812,0.0635,0.4875,0.8708,-0.0892,0.4833,0.8709,-0.1566,-0.8462,7.7969,-0.1493,-0.792,7.2361
2818964951,3.8511,3.9613,-30.6875,15.0312,-40.5938,32.3438,15.5938,-40.375,0.0548,0.4926,0.8685,-0.11,0.4892,0.8652,-0.1693,-0.8521,7.7278,-0.1595,-0.8271,7.539
2823964951,3.7519,3.9062,-30.6562,15.0625,-40.625,32.3438,15.625,-40.1875,0.0499,0.4858,0.8726,-0.1257,0.4824,0.8669,-0.1667,-0.8394,7.6049,-0.1561,-0.8247,7.5474
2828964951,3.829,3.9503,-30.6875,15.2812,-40.4375,32.3125,15.8125,-40.5625,0.0614,0.4756,0.8775,-0.106,0.473,0.8747,-0.1544,-0.8169,7.4737,-0.136,-0.7974,7.4447
2833965951,3.9907,4.0128,-30.875,15.1875,-40.75,32.1875,15.6562,-40.3125,0.0607,0.4713,0.8799,-0.108,0.4687,0.8767,-0.1572,-0.8394,7.7091,-0.1512,-0.8076,7.3988
2838964951,4.0017,3.8217,-30.8125,15.25,-41.125,32.1562,15.875,-40.1875,0.0436,0.4661,0.8837,-0.1187,0.4626,0.8786,-0.1417,-0.8262,7.7222,-0.1344,-0.7861,7.3299
2843964951,3.9209,3.9282,-30.6562,15.125,-41.0,32.3438,15.7812,-40.4688,0.033,0.479,0.8772,-0.1221,0.4747,0.8716,-0.1526,-0.835,7.7076,-0.1449,-0.8052,7.4394
2848964951,3.807,3.8952,-30.5,15.1562,-41.0,32.5,15.75,-40.25,0.0253,0.4747,0.8798,-0.1318,0.4704,0.8726,-0.1432,-0.832,7.7757,-0.1426,-0.8169,7.6032
2853965951,3.8511,3.8805,-30.6562,14.9688,-40.4688,32.375,15.5,-40.1875,0.0496,0.4943,0.8678,-0.1157,0.4918,0.863,-0.173,-0.8521,7.6877,-0.171,-0.8472,7.651
2858968951,3.8878,4.0899,-30.9375,15.0312,-40.5625,32.125,15.6875,-40.75,0.0774,0.4816,0.873,-0.08,0.479,0.8742,-0.1661,-0.8569,7.8206,-0.1371,-0.8042,7.5133
2863974951,3.7592,3.9613,-30.9062,15.1875,-40.875,32.125,15.75,-40.3125,0.0605,0.4747,0.8781,-0.1018,0.4713,0.8761,-0.1552,-0.8374,7.7086,-0.1425,-0.8066,7.4834
2868965951,3.8584,3.9172,-30.7812,15.3438,-40.5938,32.2188,15.7812,-40.25,0.0661,0.4652,0.8827,-0.1118,0.4635,0.879,-0.1368,-0.8193,7.6947,-0.1387,-0.8052,7.5075
2873965951,3.9246,3.8217,-30.9375,15.0312,-41.0625,32.0938,15.5625,-40.25,0.049,0.4875,0.8717,-0.0866,0.4841,0.8707,-0.1573,-0.8608,7.9633,-0.1603,-0.8296,7.5599
2878965951,3.8254,3.7702,-31.0,15.25,-40.75,32.0,15.7812,-39.9375,0.07,0.4738,0.8778,-0.1036,0.4713,0.8759,-0.141,-0.8472,7.9793,-0.1432,-0.8076,7.4869
2883965951,3.807,3.7629,-30.75,15.0312,-40.625,32.25,15.625,-40.0312,0.0448,0.4858,0.8729,-0.1079,0.4824,0.8693,-0.161,-0.853,7.8302,-0.1541,-0.8281,7.6106
2888965951,3.8474,3.8143,-30.7812,15.0625,-40.75,32.25,15.5625,-40.1875,0.0508,0.4841,0.8735,-0.1072,0.4807,0.8703,-0.1632,-0.856,7.841,-0.1562,-0.8418,7.7487
2893968951,3.9319,3.9172,-30.875,15.1562,-40.6875,32.1875,15.6875,-40.2812,0.0658,0.473,0.8786,-0.0916,0.4704,0.8777,-0.1552,-0.8496,7.8536,-0.1444,-0.8271,7.7045
2898965951,3.8143,3.7298,-30.9062,15.3125,-40.375,32.1562,15.75,-40.1875,0.0851,0.4626,0.8825,-0.0991,0.4592,0.8828,-0.1411,-0.8306,7.781,-0.1394,-0.7998,7.4361
2903965951,3.8364,4.0275,-30.5938,15.3438,-40.7188,32.4375,15.9375,-40.5,0.0371,0.4478,0.8933,-0.1218,0.4426,0.8884,-0.1378,-0.8018,7.4765,-0.1216,-0.7773,7.3667
2908965951,3.6747,3.8401,-30.9062,15.4375,-41.2812,32.0938,16.125,-40.2812,0.041,0.4268,0.9034,-0.1074,0.4206,0.9009,-0.1163,-0.7837,7.4992,-0.1021,-0.7451,7.2028
2913965951,3.7702,3.8768,-30.875,15.3438,-41.25,32.1562,15.9375,-40.5938,0.049,0.4268,0.903,-0.0898,0.4206,0.9028,-0.1161,-0.7754,7.4038,-0.1031,-0.7578,7.3398
2918965951,3.7427,3.7261,-30.9062,15.3438,-40.875,32.125,16.0625,-39.8125,0.0625,0.417,0.9067,-0.1149,0.4117,0.904,-0.1248,-0.7642,7.1768,-0.1024,-0.7617,7.3935
2923965951,3.8107,3.8952,-30.75,15.4375,-41.3438,32.25,16.0,-40.5,0.0316,0.4117,0.9108,-0.117,0.4063,0.9062,-0.0921,-0.7295,7.1292,-0.1118,-0.769,7.376
2928965951,3.7151,3.8437,-30.6562,15.1875,-40.6875,32.375,15.8125,-40.125,0.0455,0.425,0.904,-0.1232,0.4206,0.8989,-0.13,-0.7778,7.2804,-0.1279,-0.7979,7.5385
2933966951,3.6471,3.9062,-30.5938,15.375,-40.625,32.4375,16.0625,-40.5,0.0522,0.4037,0.9134,-0.1227,0.3992,0.9086,-0.1045,-0.7554,7.2959,-0.0912,-0.7744,7.6635
2939090951,3.7702,3.9613,-30.75,15.7812,-41.1875,32.25,16.4062,-40.375,0.0367,0.3749,0.9263,-0.11,0.3685,0.9231,-0.0587,-0.7148,7.3234,-0.0522,-0.7178,7.4287
2944090951,3.6471,3.7519,-30.9688,15.125,-40.875,32.0312,15.7812,-39.9375,0.055,0.4321,0.9002,-0.1035,0.4268,0.8984,-0.1252,-0.8013,7.6081,-0.1127,-0.7842,7.5443
2949091951,3.761,3.8952,-31.0938,15.4688,-41.5,31.9062,16.125,-40.2812,0.0434,0.401,0.9151,-0.0856,0.3938,0.9152,-0.0897,-0.7666,7.5885,-0.0866,-0.7378,7.2858
2954093951,3.7261,3.8401,-30.7812,15.0312,-40.9375,32.25,15.5938,-40.0625,0.0381,0.4426,0.8959,-0.1126,0.4365,0.8927,-0.1348,-0.8174,7.6943,-0.1353,-0.8154,7.6659
2959090951,3.818,3.954,-30.75,15.3125,-41.0625,32.25,16.0625,-40.3125,0.0369,0.4126,0.9102,-0.1143,0.4072,0.9061,-0.111,-0.7803,7.5164,-0.0825,-0.7495,7.4672
2964094951,3.6931,3.8988,-30.7812,15.6562,-41.1562,32.25,16.2812,-40.375,0.04,0.3875,0.921,-0.1166,0.3812,0.9171,-0.0734,-0.7456,7.5215,-0.0574,-0.7266,7.4736
2969091951,3.6104,3.8437,-30.9688,15.625,-41.1875,32.0625,16.125,-39.9375,0.048,0.3929,0.9183,-0.111,0.3866,0.9155,-0.0707,-0.748,7.5786,-0.0855,-0.7373,7.2921
2974104951,3.7206,3.8254,-30.4375,15.1562,-40.7188,32.5625,15.875,-40.0625,0.0278,0.4241,0.9052,-0.1357,0.417,0.8987,-0.1309,-0.7974,7.5007,-0.1082,-0.7974,7.748
2979091951,3.7353,3.7923,-30.7812,15.375,-41.0,32.2188,15.9375,-40.0938,0.0415,0.4072,0.9124,-0.1128,0.4019,0.9087,-0.1019,-0.7729,7.5297,-0.1035,-0.7729,7.5124
2984091951,3.6343,3.8364,-30.9688,15.0625,-40.8438,32.0625,15.6875,-40.0,0.0551,0.4303,0.901,-0.1045,0.425,0.8991,-0.1439,-0.8345,7.7966,-0.1201,-0.791,7.5433
2989091951,3.6416,3.9135,-30.625,15.4688,-40.9375,32.375,16.125,-40.0625,0.0281,0.4037,0.9145,-0.1202,0.3965,0.9101,-0.0944,-0.7622,7.4858,-0.0917,-0.751,7.3838
2994096951,3.7813,3.8584,-30.7812,15.1875,-41.125,32.2188,15.875,-40.125,0.0235,0.4223,0.9061,-0.1069,0.4144,0.9038,-0.1195,-0.8018,7.6765,-0.1114,-0.7769,7.4723
2999091951,3.6692,3.8033,-30.625,15.375,-41.0,32.375,16.0625,-40.0312,0.0201,0.4046,0.9143,-0.1272,0.3992,0.908,-0.1065,-0.769,7.4339,-0.0924,-0.7598,7.4792
3004091951,3.7261,3.829,-30.75,15.1875,-40.8125,32.2812,15.8125,-40.0625,0.0394,0.4232,0.9052,-0.1146,0.417,0.9016,-0.1281,-0.7998,7.5602,-0.1106,-0.7832,7.5555
3009091951,3.7996,3.9834,-30.5625,15.25,-40.875,32.5,15.9062,-40.1875,0.0235,0.4144,0.9098,-0.1276,0.4072,0.9044,-0.1111,-0.772,7.4183,-0.1102,-0.7822,7.548
3014091951,3.6122,3.8658,-30.8125,15.3438,-40.875,32.2188,15.9688,-40.1562,0.052,0.4144,0.9086,-0.1028,0.4081,0.9071,-0.1071,-0.7769,7.5189,-0.1031,-0.7588,7.3512
3019091951,3.682,3.8658,-30.9375,15.5938,-40.9688,32.125,16.2188,-40.1562,0.0578,0.3947,0.917,-0.1064,0.3893,0.9149,-0.081,-0.7329,7.2902,-0.0757,-0.73,7.314
3024091951,3.6214,3.8511,-30.75,15.375,-40.8125,32.3125,15.9688,-40.1875,0.0512,0.4108,0.9103,-0.1126,0.4055,0.9071,-0.1077,-0.7769,7.5122,-0.1003,-0.7832,7.6674
3029091951,3.6839,3.9393,-30.7812,15.3438,-40.5312,32.25,15.9375,-40.1562,0.0654,0.4108,0.9094,-0.1055,0.4063,0.9076,-0.1079,-0.7798,7.5446,-0.1068,-0.7769,7.5222
3034091951,3.6545,3.976,-30.8125,15.5938,-41.125,32.2188,16.0938,-40.5625,0.0381,0.3974,0.9169,-0.091,0.3929,0.9151,-0.0798,-0.7451,7.4452,-0.0812,-0.7539,7.5332
3039091951,3.7206,3.9246,-30.8125,15.1562,-41.3125,32.1562,15.875,-40.0312,0.0234,0.425,0.9049,-0.1138,0.417,0.9017,-0.1159,-0.811,7.8253,-0.112,-0.771,7.3969
3044091951,3.6085,3.9062,-30.9375,15.1562,-40.6875,32.0938,15.8125,-40.375,0.0604,0.4268,0.9023,-0.0774,0.4215,0.9035,-0.1274,-0.7954,7.5151,-0.1174,-0.7822,7.47
3049096951,3.7886,3.9503,-30.9375,15.1562,-41.0625,32.0625,15.7812,-40.0625,0.04,0.4365,0.8988,-0.0973,0.4294,0.8979,-0.1327,-0.8242,7.7978,-0.116,-0.8042,7.7433
3054091951,3.6214,3.9393,-30.75,15.1562,-40.4688,32.2812,15.7812,-39.9375,0.0571,0.4215,0.905,-0.1208,0.417,0.9008,-0.1317,-0.814,7.6872,-0.118,-0.792,7.5782
3059091951,3.6526,3.829,-30.75,15.3125,-41.125,32.2812,16.0,-40.0625,0.028,0.4108,0.9113,-0.1215,0.4055,0.906,-0.1031,-0.7773,7.5686,-0.0925,-0.7534,7.4036
3064105951,3.7059,3.9393,-30.875,15.2812,-40.9375,32.1562,15.9375,-40.25,0.0467,0.4126,0.9097,-0.0949,0.4055,0.9092,-0.1119,-0.7778,7.4784,-0.1027,-0.7783,7.5841
3069092951,4.0385,3.8364,-30.9062,15.0312,-41.3125,32.125,16.0,-39.9375,0.0238,0.3956,0.9181,-0.118,0.3893,0.9135,-0.1162,-0.7803,7.4597,-0.0911,-0.7632,7.5332
3074220951,3.8658,3.807,-30.9375,15.5,-41.8125,32.0938,16.2812,-40.5,0.0133,0.3375,0.9412,-0.1108,0.3301,0.9374,-0.0508,-0.7017,7.2571,-0.0296,-0.7178,7.6742
3079217951,3.8511,3.7482,-30.6562,15.5,-41.8438,32.3438,16.3125,-40.2812,-0.0275,0.3005,0.9534,-0.154,0.2911,0.9442,-0.0293,-0.6538,6.9392,-0.0124,-0.6738,7.3537
3084217951,3.7776,3.6232,-30.4688,15.375,-41.4062,32.5312,16.2188,-40.5625,-0.0146,0.2743,0.9615,-0.1616,0.2667,0.9501,-0.0229,-0.6489,6.9526,0.0066,-0.6567,7.3642
3089217951,3.9172,3.6435,-30.75,15.375,-42.0625,32.25,16.4062,-40.1875,-0.0223,0.2299,0.973,-0.1897,0.2213,0.9566,0.0041,-0.6069,6.7658,0.0335,-0.583,6.8132
3094217951,3.7519,3.6416,-30.6562,15.4688,-41.9375,32.375,16.375,-40.6875,-0.0024,0.1907,0.9816,-0.1658,0.183,0.969,0.0471,-0.5469,6.5522,0.0712,-0.5342,6.6705
3099217951,3.7776,3.5424,-30.8125,15.5,-42.25,32.2188,16.5312,-40.625,-0.0102,0.1445,0.9895,-0.1661,0.1358,0.9767,0.132,-0.5308,7.2954,0.1139,-0.4895,6.6332
3104229951,3.9466,3.6141,-30.4688,15.4375,-42.625,32.5625,16.4375,-41.2188,-0.0577,0.1106,0.9922,-0.186,0.099,0.9776,0.1626,-0.4983,7.2643,0.1252,-0.4751,6.5954
3109217951,3.8731,3.6471,-30.6562,15.5938,-42.7188,32.3438,16.8125,-41.1562,-0.056,0.061,0.9966,-0.1761,0.0493,0.9831,0.2045,-0.46,7.2924,0.2039,-0.4265,6.9119
3114231951,3.8474,3.807,-30.625,15.7812,-42.2188,32.375,16.9062,-40.9375,-0.0473,0.0434,0.9979,-0.205,0.0317,0.9783,0.1954,-0.4453,7.0295,0.2272,-0.384,6.6946
3119217951,3.9466,3.8658,-30.4375,15.6562,-42.3125,32.5625,16.75,-40.9688,-0.0882,0.0415,0.9952,-0.2279,0.0278,0.9733,0.2166,-0.4536,7.3539,0.2462,-0.4116,7.2106
3124219951,3.9834,3.8805,-30.5,15.75,-42.125,32.5,16.9062,-40.5625,-0.0833,0.0386,0.9958,-0.2383,0.0268,0.9708,0.2136,-0.446,7.2371,0.2671,-0.3896,7.1956
3129217951,3.8658,3.7629,-30.4688,15.8125,-42.0625,32.5312,17.125,-40.75,-0.0853,0.0317,0.9958,-0.2232,0.02,0.9746,0.2402,-0.4424,7.4882,0.3127,-0.384,7.6363
3134217951,3.9466,3.6894,-30.6562,15.625,-42.375,32.3438,16.9062,-40.8125,-0.0901,0.0473,0.9948,-0.203,0.0347,0.9786,0.2791,-0.4719,8.2458,0.3054,-0.4211,7.9685
